n,k,p,analitico,experimental,erro_absoluto
2,1,0.0,0.0,0.0,0.0
2,1,0.1,0.19000000000000003,0.18852,0.0014800000000000368
2,1,0.2,0.3600000000000001,0.36332,0.0033199999999998786
2,1,0.3,0.51,0.51204,0.0020400000000000418
2,1,0.4,0.64,0.63916,0.0008400000000000629
2,1,0.5,0.75,0.75034,0.00034000000000000696
2,1,0.6,0.84,0.84,0.0
2,1,0.7,0.9099999999999999,0.90828,0.0017199999999999438
2,1,0.8,0.9600000000000001,0.95956,0.00044000000000010697
2,1,0.9,0.99,0.98958,0.00041999999999997595
2,1,1.0,1.0,1.0,0.0
2,1,0.0,0.0,0.0,0.0
2,1,0.1,0.19000000000000003,0.18874,0.0012600000000000389
2,1,0.2,0.3600000000000001,0.35938,0.0006200000000001205
2,1,0.3,0.51,0.50566,0.0043400000000000105
2,1,0.4,0.64,0.63874,0.0012600000000000389
2,1,0.5,0.75,0.75042,0.00041999999999997595
2,1,0.6,0.84,0.83998,2.0000000000020002e-05
2,1,0.7,0.9099999999999999,0.90956,0.00043999999999988493
2,1,0.8,0.9600000000000001,0.96088,0.0008799999999998809
2,1,0.9,0.99,0.98948,0.0005199999999999649
2,1,1.0,1.0,1.0,0.0
2,2,0.0,0.0,0.0,0.0
2,2,0.1,0.010000000000000002,0.00954,0.0004600000000000021
2,2,0.2,0.04000000000000001,0.0404,0.00039999999999999064
2,2,0.3,0.09,0.09348,0.003479999999999997
2,2,0.4,0.16000000000000003,0.16032,0.0003199999999999592
2,2,0.5,0.25,0.24894,0.0010600000000000054
2,2,0.6,0.36,0.35956,0.00043999999999999595
2,2,0.7,0.48999999999999994,0.48796,0.0020399999999999308
2,2,0.8,0.6400000000000001,0.63922,0.0007800000000001139
2,2,0.9,0.81,0.8122,0.0021999999999999797
2,2,1.0,1.0,1.0,0.0
4,1,0.0,0.0,0.0,0.0
4,1,0.1,0.34390000000000004,0.3464,0.0024999999999999467
4,1,0.2,0.5904000000000001,0.58922,0.001180000000000181
4,1,0.3,0.7598999999999999,0.76022,0.000320000000000098
4,1,0.4,0.8704000000000001,0.87362,0.0032199999999998896
4,1,0.5,0.9375,0.93834,0.0008399999999999519
4,1,0.6,0.9743999999999999,0.97462,0.000220000000000109
4,1,0.7,0.9919,0.99206,0.000160000000000049
4,1,0.8,0.9984000000000001,0.99832,8.000000000008001e-05
4,1,0.9,0.9999,0.99986,4.0000000000040004e-05
4,1,1.0,1.0,1.0,0.0
4,2,0.0,0.0,0.0,0.0
4,2,0.1,0.05230000000000001,0.05224,6.000000000001143e-05
4,2,0.2,0.18080000000000007,0.18038,0.0004200000000000592
4,2,0.3,0.3483,0.3473,0.0010000000000000009
4,2,0.4,0.5248,0.52268,0.0021200000000000108
4,2,0.5,0.6875,0.69152,0.0040200000000000236
4,2,0.6,0.8208,0.82068,0.00012000000000000899
4,2,0.7,0.9162999999999999,0.91578,0.0005199999999998539
4,2,0.8,0.9728,0.9733,0.000500000000000056
4,2,0.9,0.9963,0.99638,8.000000000008001e-05
4,2,1.0,1.0,1.0,0.0
4,4,0.0,0.0,0.0,0.0
4,4,0.1,0.00010000000000000002,8e-05,2.0000000000000012e-05
4,4,0.2,0.0016000000000000003,0.00126,0.00034000000000000024
4,4,0.3,0.0081,0.00836,0.0002599999999999998
4,4,0.4,0.025600000000000005,0.02496,0.0006400000000000051
4,4,0.5,0.0625,0.06382,0.0013200000000000017
4,4,0.6,0.1296,0.12556,0.004039999999999988
4,4,0.7,0.24009999999999995,0.24338,0.0032800000000000606
4,4,0.8,0.4096000000000001,0.40646,0.003140000000000087
4,4,0.9,0.6561,0.65612,2.0000000000020002e-05
4,4,1.0,1.0,1.0,0.0
8,1,0.0,0.0,0.0,0.0
8,1,0.1,0.5695327900000001,0.57076,0.001227209999999923
8,1,0.2,0.8322278400000002,0.83236,0.00013215999999982575
8,1,0.3,0.9423519899999998,0.94236,8.01000000016927e-06
8,1,0.4,0.98320384,0.98344,0.00023615999999992976
8,1,0.5,0.99609375,0.99648,0.0003862500000000324
8,1,0.6,0.99934464,0.99926,8.463999999996918e-05
8,1,0.7,0.99993439,0.99992,1.4389999999919745e-05
8,1,0.8,0.9999974399999999,1.0,2.560000000095819e-06
8,1,0.9,0.99999999,1.0,1.0000000050247593e-08
8,1,1.0,1.0,1.0,0.0
8,4,0.0,0.0,0.0,0.0
8,4,0.1,0.00502435,0.00486,0.0001643500000000006
8,4,0.2,0.056281600000000015,0.0556,0.0006816000000000183
8,4,0.3,0.19410434999999995,0.19518,0.001075650000000039
8,4,0.4,0.4059136,0.40614,0.00022640000000001548
8,4,0.5,0.63671875,0.63612,0.0005987499999999812
8,4,0.6,0.8263296,0.8275,0.0011704000000000159
8,4,0.7,0.94203235,0.9419,0.0001323500000000033
8,4,0.8,0.9895936,0.99002,0.00042640000000004896
8,4,0.9,0.99956835,0.99954,2.835000000001031e-05
8,4,1.0,1.0,1.0,0.0
8,8,0.0,0.0,0.0,0.0
8,8,0.1,1.0000000000000005e-08,0.0,1.0000000000000005e-08
8,8,0.2,2.5600000000000013e-06,0.0,2.5600000000000013e-06
8,8,0.3,6.560999999999998e-05,4e-05,2.5609999999999973e-05
8,8,0.4,0.0006553600000000003,0.0007,4.4639999999999654e-05
8,8,0.5,0.00390625,0.00424,0.00033374999999999985
8,8,0.6,0.016796159999999994,0.01674,5.6159999999992605e-05
8,8,0.7,0.05764800999999997,0.05886,0.0012119900000000308
8,8,0.8,0.1677721600000001,0.16996,0.002187839999999913
8,8,0.9,0.4304672100000001,0.42746,0.0030072100000000934
8,8,1.0,1.0,1.0,0.0
16,1,0.0,0.0,0.0,0.0
16,1,0.1,0.8146979811148162,0.81606,0.0013620188851838355
16,1,0.2,0.9718525023289354,0.97212,0.0002674976710645982
16,1,0.3,0.9966767069430391,0.99682,0.00014329305696092476
16,1,0.4,0.9997178890092545,0.99972,2.110990745540775e-06
16,1,0.5,0.9999847412109375,0.99996,2.4741210937540004e-05
16,1,0.6,0.9999995705032703,1.0,4.294967297369112e-07
16,1,0.7,0.9999999956953279,1.0,4.3046720632489155e-09
16,1,0.8,0.9999999999934465,1.0,6.5535354920598365e-12
16,1,0.9,0.9999999999999999,1.0,1.1102230246251565e-16
16,1,1.0,1.0,1.0,0.0
16,8,0.0,0.0,0.0,0.0
16,8,0.1,6.132545293150004e-05,4e-05,2.132545293150004e-05
16,8,0.2,0.007003561164800006,0.0068,0.00020356116480000665
16,8,0.3,0.07435155005257946,0.07492,0.0005684499474205434
16,8,0.4,0.2839366472826881,0.28038,0.0035566472826880635
16,8,0.5,0.5981903076171875,0.59858,0.00038969238281250096
16,8,0.6,0.8577302820618238,0.85588,0.0018502820618238047
16,8,0.7,0.9743264699450276,0.9747,0.0003735300549724263
16,8,0.8,0.998524061745152,0.99842,0.0001040617451519843
16,8,0.9,0.9999940756769955,0.99998,1.4075676995517483e-05
16,8,1.0,1.0,1.0,0.0
16,16,0.0,0.0,0.0,0.0
16,16,0.1,1.0000000000000008e-16,0.0,1.0000000000000008e-16
16,16,0.2,6.5536000000000055e-12,0.0,6.5536000000000055e-12
16,16,0.3,4.3046720999999976e-09,0.0,4.3046720999999976e-09
16,16,0.4,4.2949672960000036e-07,0.0,4.2949672960000036e-07
16,16,0.5,1.52587890625e-05,2e-05,4.741210937500002e-06
16,16,0.6,0.00028211099074559984,0.0003,1.7889009254400134e-05
16,16,0.7,0.0033232930569600965,0.0027,0.0006232930569600964
16,16,0.8,0.028147497671065624,0.02706,0.001087497671065623
16,16,0.9,0.18530201888518416,0.1835,0.0018020188851841645
16,16,1.0,1.0,1.0,0.0
